Name,Description,Code,Producer,Price,Weight,Photo_1,Photo_2,Category,Subcategory
Rafia kremowa,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.

 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 80 - 100 m
Waga 50 gramów



Kolor: kremowy
",33123,,14.7,0.05,33123_1.jpg,33123_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia kremowa 57,"
RAFIA

Można użyć do szydełkowania lub robienia na drutach czapek, torebek letnich, podkładek i różnych dekoracji, ale także do układania lub wiązania kompozycji kwiatowych. Jest mocne i lekkie.
Włókna pochodzą  z palm rodzaju Raphia.
 
Rozmiar szydełka: 5,5
 
Z jednego motka można wykonać prostokąt 30 na 35 cm .


szerokość taśmy: 5 - 8 mm
Nawój: 100 m



 
",30960,,29.9,0.05,30960_1.jpg,30960_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia niebieska 1610,"
RAFIA
 

Rafia to znana od dawna ulubiona włóczka na letnie dzianiny: włóczka tasiemkowa wykonana z naturalnego włókna o półmatowym wyglądzie, wystarczająco miękka do robienia na drutach, która stanie się idealnym narzędziem do tworzenia toreb, czapek czy kapeluszy , a także podkładek pod talerze, koszyczków i drobnych akcesoriów do letniego wyposażenia domu w stylu boho-chic. Paleta kolorów jest naprawdę bogata i daje szerokie możliwości: od bardziej neutralnych  odcieni po pastelowe lub jasne kolory, każdy może tworzyć własne kreacje przy użyciu swojej ulubionej palety!

100% naturalna wiskoza
 
80 gramów /200 metrów.
Zalecany rozmiar drutów: 4 - 4,5 mm.
10 x 10 cm to: 17 oczek i 8 rzędów.
Pranie ręczne.
Nie prasować.
Nie nadaje się do suszarki.


",32718,Yarn Art,49.6,0.08,32718_1.jpg,32718_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia niebieska 1612,"
RAFIA
 

Rafia to znana od dawna ulubiona włóczka na letnie dzianiny: włóczka tasiemkowa wykonana z naturalnego włókna o półmatowym wyglądzie, wystarczająco miękka do robienia na drutach, która stanie się idealnym narzędziem do tworzenia toreb, czapek czy kapeluszy , a także podkładek pod talerze, koszyczków i drobnych akcesoriów do letniego wyposażenia domu w stylu boho-chic. Paleta kolorów jest naprawdę bogata i daje szerokie możliwości: od bardziej neutralnych  odcieni po pastelowe lub jasne kolory, każdy może tworzyć własne kreacje przy użyciu swojej ulubionej palety!

100% naturalna wiskoza
 
80 gramów /200 metrów.
Zalecany rozmiar drutów: 4 - 4,5 mm.
10 x 10 cm to: 17 oczek i 8 rzędów.
Pranie ręczne.
Nie prasować.
Nie nadaje się do suszarki.


",32716,Yarn Art,49.6,0.08,32716_1.jpg,32716_2.jpg,WŁÓCZKI,JUTA / SIZAL
Rafia rudo brązowa 1609,"
RAFIA
 

Rafia to znana od dawna ulubiona włóczka na letnie dzianiny: włóczka tasiemkowa wykonana z naturalnego włókna o półmatowym wyglądzie, wystarczająco miękka do robienia na drutach, która stanie się idealnym narzędziem do tworzenia toreb, czapek czy kapeluszy , a także podkładek pod talerze, koszyczków i drobnych akcesoriów do letniego wyposażenia domu w stylu boho-chic. Paleta kolorów jest naprawdę bogata i daje szerokie możliwości: od bardziej neutralnych  odcieni po pastelowe lub jasne kolory, każdy może tworzyć własne kreacje przy użyciu swojej ulubionej palety!

100% naturalna wiskoza
 
80 gramów /200 metrów.
Zalecany rozmiar drutów: 4 - 4,5 mm.
10 x 10 cm to: 17 oczek i 8 rzędów.
Pranie ręczne.
Nie prasować.
Nie nadaje się do suszarki.


",32719,Yarn Art,49.6,0.08,32719_1.jpg,32719_2.jpg,WŁÓCZKI,JUTA / SIZAL
Cha Cha 04,"
Cha ChaKolor: odcienie fioletu  04
100 gram 35 merów
28% wełna 67% akryl 5% poliester
Druty nr 12-15
Próbka 10 na 10 cm to 6 oczek i 8 rzedów.
",499,Lammy,19.0,0.1,499_1.jpg,499_2.jpg,WŁÓCZKI,Włóczki super grube
Cha Cha 07,"
 
Cha ChaKolor : odcienie brązu  07100 gram 35 merów
28% wełna 67% akryl 5% poliester
Druty nr 12-15
Próbka 10 na 10 cm to 6 oczek i 8 rzedów.
 
",2446,Lammy,19.0,7.1,2446_1.jpg,2446_2.jpg,WŁÓCZKI,Włóczki super grube
Cha Cha 26,"
 
Cha ChaKolor czarny  26100 gram 35 merów28% wełna 67% akryl 5% poliester
Druty nr 12-15
Próbka 10 na 10 cm to 6 oczek i 8 rzedów.
 
",2449,Lammy,19.0,26.1,2449_1.jpg,2449_2.jpg,WŁÓCZKI,Włóczki super grube
Country,"
 Włóczka Country
Kolor: fiolet malanż
Motek : 100G / 34m
Skład: 30% wełna, 10% moher , 35% akryl, 25% poliamid
Zalecane druty 15-20mm
",3611,Alize,14.0,0.05,3611_1.jpg,3611_2.jpg,WŁÓCZKI,Włóczki super grube
Country 5291,"
COUNTRY 
Skład: 20% wełna, 55% akryl, 25% poliamid
Motek : 100 gramów 34 metry
Zalecane druty numer 15 - 20 
Zalecane pranie ręczne.
Włóczka otwiera nowe horyzonty w ręcznym robótkowaniu. 
Bardzo łatwy i szybki efekt dzianiny. 
Gruba, przyjemnie miękka i puszysta.
      
    
   
",16278,Alize,14.0,0.1,16278_1.jpg,16278_2.jpg,WŁÓCZKI,Włóczki super grube
Country 5293,"
COUNTRY
Kolor: 658 niebieski
Motek : 100G / 34m
Skład: 20% wełna, 55% akryl, 25% poliamid
Zalecane druty 15-20mm
",16279,Alize,14.0,0.05,16279_1.jpg,16279_2.jpg,WŁÓCZKI,Włóczki super grube
Country 5469,"
COUNTRY 
Skład: 20% wełna, 55% akryl, 25% poliamid
Motek : 100 gramów 34 metry
Zalecane druty numer 15 - 20 
Zalecane pranie ręczne.
Włóczka otwiera nowe horyzonty w ręcznym robótkowaniu. 
Bardzo łatwy i szybki efekt dzianiny. 
Gruba, przyjemnie miękka i puszysta.
      
    
   
",19960,Alize,14.0,0.1,19960_1.jpg,19960_2.jpg,WŁÓCZKI,Włóczki super grube
Country 55,"
Włóczka Country
Kolor: biały  55
Motek : 100G / 34m
Skład: 30% wełna, 10% moher , 35% akryl, 25% poliamid
Zalecane druty 15-20mm
",3574,Alize,14.0,0.05,3574_1.jpg,3574_2.jpg,WŁÓCZKI,Włóczki super grube
Country 5563,"
COUNTRY 
Skład: 20% wełna, 55% akryl, 25% poliamid
Motek : 100 gramów 34 metry
Zalecane druty numer 15 - 20 
Zalecane pranie ręczne.
Włóczka otwiera nowe horyzonty w ręcznym robótkowaniu. 
Bardzo łatwy i szybki efekt dzianiny. 
Gruba, przyjemnie miękka i puszysta.
      
    
   
",19984,Alize,14.0,0.1,19984_1.jpg,19984_2.jpg,WŁÓCZKI,Włóczki super grube
Country 5656,"
COUNTRY 
Skład: 20% wełna, 55% akryl, 25% poliamid
Motek : 100 gramów 34 metry
Zalecane druty numer 15 - 20 
Zalecane pranie ręczne.
Włóczka otwiera nowe horyzonty w ręcznym robótkowaniu. 
Bardzo łatwy i szybki efekt dzianiny. 
Gruba, przyjemnie miękka i puszysta.
      
    
   
",19778,Alize,14.0,0.1,19778_1.jpg,19778_2.jpg,WŁÓCZKI,Włóczki super grube
Country 5674,"
COUNTRY 
Skład: 20% wełna, 55% akryl, 25% poliamid
Motek : 100 gramów 34 metry
Zalecane druty numer 15 - 20 
Zalecane pranie ręczne.
Włóczka otwiera nowe horyzonty w ręcznym robótkowaniu. 
Bardzo łatwy i szybki efekt dzianiny. 
Gruba, przyjemnie miękka i puszysta.
      
    
   
",19774,Alize,14.0,0.1,19774_1.jpg,19774_2.jpg,WŁÓCZKI,Włóczki super grube
Country 5710,"
COUNTRY 
Skład: 20% wełna, 55% akryl, 25% poliamid
Motek : 100 gramów 34 metry
Zalecane druty numer 15 - 20 
Zalecane pranie ręczne.
Włóczka otwiera nowe horyzonty w ręcznym robótkowaniu. 
Bardzo łatwy i szybki efekt dzianiny. 
Gruba, przyjemnie miękka i puszysta.
      
    
   
",19786,Alize,14.0,0.1,19786_1.jpg,19786_2.jpg,WŁÓCZKI,Włóczki super grube
Country Lux   5296,"
COUNTRY NEW
Kolor:
Motek : 100 gramów 32  metry
Skład: 20% wełna  25% poliamid  52% akryl  3% metalic
Zalecane druty numer 15-20 
",18194,Alize,14.0,0.1,18194_1.jpg,18194_2.jpg,WŁÓCZKI,Włóczki super grube
Country Lux   5510,"
COUNTRY NEW
Kolor:
Motek : 100 gramów 32  metry
Skład: 20% wełna  25% poliamid  52% akryl  3% metalic
Zalecane druty numer 15-20 
",18196,Alize,14.0,0.1,18196_1.jpg,18196_2.jpg,WŁÓCZKI,Włóczki super grube
Country Lux 5035,"
Włóczka Country LUX
Kolor:  5035
Motek : 100G / 34m
Skład: 20% wełna , 55% akryl, 25% poliamid + lurex
Zalecane druty 15-20mm
",3533,Alize,14.0,0.05,3533_1.jpg,3533_2.jpg,WŁÓCZKI,Włóczki super grube
Country Lux 5491,"
Włóczka Country LUX
Kolor:  5491
Motek : 100G / 34m
Skład: 20% wełna , 55% akryl, 25% poliamid + lurex
Zalecane druty 15-20mm
",33130,Alize,14.0,0.05,33130_1.jpg,33130_2.jpg,WŁÓCZKI,Włóczki super grube
Country New 01,"
Country New
Kolor: kremowy  01
Motek : 100 gramów  34 metry
Skład: 20% wełna 55% akryl 25% poliamid
Zalecane druty 15-20  mm
",3618,Alize,14.0,0.1,3618_1.jpg,3618_2.jpg,WŁÓCZKI,Włóczki super grube
Country New 488,"
COUNTRY NEW
Kolor:  390 malina
Motek : 100 gramów 34  metry
Skład: 20% wełna  25% poliamid  55% akryl
Zalecane druty numer 15-20 
",19503,Alize,14.0,0.1,19503_1.jpg,19503_2.jpg,WŁÓCZKI,Włóczki super grube
Country New 5170,"
COUNTRY NEW
Kolor:  5170
Motek : 100 gramów 34  metry
Skład: 20% wełna  25% poliamid  55% akryl
Zalecane druty numer 15-20 
",17332,Alize,14.0,0.1,17332_1.jpg,17332_2.jpg,WŁÓCZKI,Włóczki super grube
Country New 5291,"
COUNTRY NEW
Kolor:  5291
Motek : 100 gramów 34  metry
Skład: 20% wełna  25% poliamid  55% akryl
Zalecane druty numer 15-20 
",18476,Alize,14.0,0.1,18476_1.jpg,18476_2.jpg,WŁÓCZKI,Włóczki super grube
Country New 5453,"
COUNTRY NEW
Kolor:  5453
Motek : 100 gramów 34  metry
Skład: 20% wełna  25% poliamid  55% akryl
Zalecane druty numer 15-20 
",18209,Alize,14.0,0.1,18209_1.jpg,18209_2.jpg,WŁÓCZKI,Włóczki super grube
Baby Supremo 01,"
Baby Supremo
Kolor:  popiel  01
Skład:  100% wełna merynosowa
Motek 50 gram  200 metrów
Zalecane druty numer 2.5-3.5
",baby s12,Rial Filati,14.5,0.05,baby s12_1.jpg,baby s12_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 02,"
Baby Supremo
Kolor:  popiel  02
Skład:  100% wełna merynosowa
Motek 50 gram  200 metrów
Zalecane druty numer 2.5-3.5
",baby s11,Rial Filati,14.5,0.05,baby s11_1.jpg,baby s11_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 04,"
Baby Supremo
Kolor:  beżowy  04
Skład:  100% wełna merynosowa
Motek 50 gram  200 metrów
Zalecane druty numer 2.5-3.5
",17331,Rial Filati,14.5,0.05,17331_1.jpg,17331_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 1,"
Baby Supremo
Włóczka najwyższej jakości, wykonana we Włoszech.
Skład:  100% wełna merynosowa
Motek 50 gramów  200 metrów
Zalecane druty numer 2.5-3.5
Pranie w pralce w programie do prania wełny lub ręcznie.
Kolor:  biało kremowy
",18631,Rial Filati,14.5,0.05,18631_1.jpg,18631_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 11,"
Baby Supremo
Włóczka najwyższej jakości, wykonana we Włoszech.
Skład:  100% wełna merynosowa
Motek 50 gramów  200 metrów
Zalecane druty numer 2.5-3.5
Pranie w pralce w programie do prania wełny lub ręcznie.
Kolor:  fiolet
",18642,Rial Filati,14.5,0.05,18642_1.jpg,18642_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 117,"
Baby Supremo
Włóczka najwyższej jakości, wykonana we Włoszech.
Skład:  100% wełna merynosowa
Motek 50 gramów  200 metrów
Zalecane druty numer 2.5-3.5
Pranie w pralce w programie do prania wełny lub ręcznie.
Kolor:  czerwony.l
",18634,Rial Filati,14.5,0.05,18634_1.jpg,18634_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 118,"
Baby Supremo
Kolor:  czerwony  118
Skład:  100% wełna merynosowa
Motek 50 gram  200 metrów
Zalecane druty numer 2.5-3.5
",baby s5,Rial Filati,14.5,0.05,baby s5_1.jpg,baby s5_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 119,"
Baby Supremo
Włóczka najwyższej jakości, wykonana we Włoszech.
Skład:  100% wełna merynosowa
Motek 50 gramów  200 metrów
Zalecane druty numer 2.5-3.5
Pranie w pralce w programie do prania wełny lub ręcznie.
Kolor:  ciemny czerwony
",18644,Rial Filati,14.5,0.05,18644_1.jpg,18644_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 12,"
Baby Supremo
Kolor:   jasno kremowy 
Skład:  100% wełna merynosowa
Motek 50 gram  200 metrów
Zalecane druty numer 2.5-3.5
",baby s2,Rial Filati,14.5,0.05,baby s2_1.jpg,baby s2_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 129,"
Baby Supremo
Kolor:  zielony  129
Skład:  100% wełna merynosowa
Motek 50 gram  200 metrów
Zalecane druty numer 3,5-4,5
",baby s15,Rial Filati,14.5,0.05,baby s15_1.jpg,baby s15_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 15,"
Baby Supremo
Kolor:  beżowy  15
Skład:  100% wełna merynosowa
Motek 50 gram  200 metrów
Zalecane druty numer 2.5-3.5
",baby ,Rial Filati,14.5,0.05,baby _1.jpg,baby _2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 154,"
Baby Supremo
Włóczka najwyższej jakości, wykonana we Włoszech.
Skład:  100% wełna merynosowa
Motek 50 gramów  200 metrów
Zalecane druty numer 2.5-3.5
Pranie w pralce w programie do prania wełny lub ręcznie.
Kolor:  jasny wrzos
",18651,Rial Filati,14.5,0.05,18651_1.jpg,18651_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 156,"
Baby Supremo
Włóczka najwyższej jakości, wykonana we Włoszech.
Skład:  100% wełna merynosowa
Motek 50 gramów  200 metrów
Zalecane druty numer 2.5-3.5
Pranie w pralce w programie do prania wełny lub ręcznie.
Kolor:  różowy
",18643,Rial Filati,14.5,0.05,18643_1.jpg,18643_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 16,"
Baby Supremo
Kolor:  bordowy  16
Skład:  100% wełna merynosowa
Motek 50 gram  200 metrów
Zalecane druty numer 2.5-3.5
",baby s6,Rial Filati,14.5,0.05,baby s6_1.jpg,baby s6_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 163,"
Baby Supremo
Kolor:  niebieski  163
Skład:  100% wełna merynosowa
Motek 50 gram  200 metrów
Zalecane druty numer 2.5-3.5
",baby s9,Rial Filati,14.5,0.05,baby s9_1.jpg,baby s9_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 164,"
Baby Supremo
Kolor:  niebieski  164
Skład:  100% wełna merynosowa
Motek 50 gram  200 metrów
Zalecane druty numer 2.5-3.5
",baby s10,Rial Filati,14.5,0.05,baby s10_1.jpg,baby s10_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 165,"
Baby Supremo
Włóczka najwyższej jakości, wykonana we Włoszech.
Skład:  100% wełna merynosowa
Motek 50 gramów  200 metrów
Zalecane druty numer 2.5-3.5
Pranie w pralce w programie do prania wełny lub ręcznie.
Kolor:  ciemno zielony - butelkowy
 
",18648,Rial Filati,14.5,0.05,18648_1.jpg,18648_2.jpg,WŁÓCZKI,Merynosy
Baby Supremo 17,"
Baby Supremo
Włóczka najwyższej jakości, wykonana we włoszech.
Skład:  100% wełna merynosowa
Motek 50 gramów  200 metrów
Zalecane druty numer 2.5-3.5
Pranie w pralce w programie do prania wełny lub ręcznie.
Kolor:  błękitny
",18639,Rial Filati,14.5,0.05,18639_1.jpg,18639_2.jpg,WŁÓCZKI,Merynosy
